iter	Passed	Remaining
544	7004	5848
545	7020	5837
546	7035	5826
547	7049	5814
548	7063	5802
549	7078	5791
550	7091	5778
551	7103	5765
552	7116	5752
553	7128	5738
554	7140	5725
555	7152	5712
556	7165	5698
557	7177	5685
558	7200	5680
559	7211	5665
560	7223	5652
561	7236	5640
562	7248	5626
563	7262	5614
564	7274	5600
565	7287	5587
566	7299	5574
567	7311	5560
568	7323	5547
569	7336	5534
570	7348	5521
571	7361	5508
572	7373	5494
573	7386	5482
574	7398	5468
575	7411	5456
576	7423	5442
577	7436	5429
578	7448	5415
579	7463	5404
580	7476	5391
581	7489	5378
582	7501	5365
583	7514	5352
584	7526	5339
585	7538	5326
586	7551	5313
587	7564	5300
588	7577	5287
589	7590	5275
590	7604	5262
591	7617	5249
592	7630	5236
593	7642	5223
594	7654	5210
595	7666	5196
596	7679	5183
597	7692	5171
598	7706	5159
599	7719	5146
600	7731	5133
601	7744	5120
602	7758	5107
603	7771	5095
604	7783	5081
605	7796	5068
606	7808	5055
607	7821	5043
608	7833	5029
609	7845	5015
610	7858	5003
611	7871	4990
612	7883	4976
613	7896	4963
614	7908	4950
615	7920	4937
616	7932	4923
617	7944	4910
618	7957	4898
619	7970	4885
620	7982	4871
621	7995	4858
622	8008	4846
623	8021	4833
624	8035	4821
625	8048	4808
626	8060	4795
627	8072	4781
628	8084	4768
629	8096	4755
630	8109	4742
631	8121	4729
632	8134	4716
633	8147	4703
634	8159	4690
635	8172	4677
636	8184	4663
637	8196	4650
638	8208	4637
639	8221	4624
640	8234	4612
641	8249	4599
642	8261	4587
643	8273	4573
644	8286	4560
645	8299	4548
646	8312	4535
647	8323	4521
648	8336	4508
649	8348	4495
650	8361	4482
651	8373	4469
652	8386	4456
653	8397	4442
654	8411	4430
655	8425	4418
656	8441	4407
657	8457	4395
658	8476	4386
659	8494	4375
660	8507	4363
661	8530	4355
662	8545	4343
663	8557	4330
664	8570	4317
665	8583	4304
666	8595	4291
667	8609	4279
668	8623	4266
669	8637	4254
670	8652	4242
671	8666	4230
672	8679	4217
673	8692	4204
674	8705	4191
675	8717	4178
676	8730	4165
677	8743	4152
678	8757	4140
679	8769	4126
680	8782	4114
681	8796	4101
682	8809	4088
683	8822	4076
684	8834	4062
685	8847	4049
686	8859	4036
687	8872	4023
688	8884	4010
689	8896	3997
690	8909	3983
691	8921	3970
692	8933	3957
693	8945	3944
694	8957	3931
695	8970	3918
696	8983	3905
697	8995	3891
698	9007	3878
699	9020	3865
700	9033	3853
701	9045	3839
702	9060	3827
703	9072	3814
704	9085	3801
705	9096	3787
706	9109	3775
707	9121	3762
708	9134	3749
709	9145	3735
710	9159	3722
711	9174	3710
712	9214	3709
713	9227	3696
714	9241	3683
715	9254	3670
716	9267	3657
717	9280	3645
718	9293	3631
719	9306	3619
720	9318	3606
721	9332	3593
722	9344	3580
723	9358	3567
724	9372	3555
725	9387	3542
726	9401	3530
727	9414	3517
728	9427	3504
729	9439	3491
730	9452	3478
731	9465	3465
732	9478	3452
733	9490	3439
734	9503	3426
735	9515	3413
736	9528	3400
737	9541	3387
738	9552	3373
739	9565	3360
740	9578	3347
741	9591	3335
742	9603	3321
743	9617	3309
744	9630	3296
745	9643	3283
746	9656	3270
747	9669	3257
748	9682	3244
749	9694	3231
750	9708	3218
751	9719	3205
752	9732	3192
753	9745	3179
754	9758	3166
755	9770	3153
756	9782	3140
757	9795	3127
758	9809	3114
759	9821	3101
760	9833	3088
761	9846	3075
762	9859	3062
763	9872	3049
764	9884	3036
765	9897	3023
766	9909	3010
767	9922	2997
768	9934	2984
769	9947	2971
770	9960	2958
771	9972	2945
772	9984	2932
773	9997	2919
774	10010	2906
775	10022	2893
776	10035	2880
777	10047	2866
778	10060	2854
779	10073	2841
780	10086	2828
781	10098	2815
782	10111	2802
783	10123	2789
784	10136	2776
785	10147	2762
786	10159	2749
787	10173	2737
788	10186	2724
789	10200	2711
790	10214	2698
791	10226	2685
792	10238	2672
793	10250	2659
794	10262	2646
795	10275	2633
796	10288	2620
797	10300	2607
798	10313	2594
799	10325	2581
800	10338	2568
801	10351	2555
802	10364	2542
803	10375	2529
804	10389	2516
805	10403	2503
806	10415	2490
807	10428	2478
808	10440	2464
809	10453	2452
810	10466	2439
811	10479	2426
812	10491	2413
813	10504	2400
814	10518	2387
815	10531	2374
816	10543	2361
817	10556	2348
818	10569	2335
819	10582	2323
820	10596	2310
821	10610	2297
822	10621	2284
823	10635	2271
824	10648	2258
825	10661	2245
826	10674	2233
827	10687	2220
828	10700	2207
829	10713	2194
830	10727	2181
831	10740	2168
832	10753	2155
833	10766	2143
834	10780	2130
835	10793	2117
836	10806	2104
837	10817	2091
838	10830	2078
839	10844	2065
840	10858	2052
841	10871	2039
842	10883	2026
843	10896	2014
844	10910	2001
845	10922	1988
846	10934	1975
847	10948	1962
848	10961	1949
849	10974	1936
850	10988	1923
851	11001	1911
852	11013	1898
853	11026	1885
854	11040	1872
855	11055	1859
856	11069	1847
857	11083	1834
858	11097	1821
859	11110	1808
860	11123	1795
861	11135	1782
862	11149	1770
863	11163	1757
864	11176	1744
865	11187	1731
866	11200	1718
867	11212	1705
868	11226	1692
869	11238	1679
870	11252	1666
871	11265	1653
872	11278	1640
873	11290	1627
874	11302	1614
875	11317	1601
876	11331	1589
